player,angle,length,angle_degrees
Pedri,-0.67075163,11.74436,321.5687624994794
Pedri,-2.1453993,16.559288,237.07767473967886
Pedri,-0.18272156,9.355747,349.53082578595354
Pedri,-1.5629225,25.400787,270.4511370439646
Pedri,1.777387,17.062824,101.83677366141886
Pedri,1.8533512,12.91201,106.18920171550654
Pedri,1.7394836,23.229723,99.66506881222269
Pedri,2.90082,23.065342,166.20474312713947
Pedri,-0.51778185,18.18351,330.33328528652413
Pedri,1.6359215,27.658634,93.7313975647109
Pedri,1.859977,25.248365,106.56883209140432
Pedri,-0.66844094,27.26848,321.70115528424253
Pedri,2.014098,15.387333,115.39931492574009
Pedri,0.7179331,10.489042,41.13453660274368
Pedri,2.16868,14.0346,124.25621111443138
Pedri,1.2414702,8.348653,71.13100285126221
Pedri,1.4775424,13.960659,84.65694357163048
Pedri,-0.7824996,24.395287,315.1660754493249
Pedri,1.6181147,35.940228,92.71114307807736
Pedri,-0.85785174,17.582378,310.848715850046
Pedri,1.0048287,10.070253,57.57244364361714
Pedri,2.3114483,9.484725,132.43623215268894
Pedri,2.4508016,9.730879,140.42058810390938
